model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
llava_1_5_7b,raw_attention,16,HALL,15,3487,0.4654271587588434,0.3853805363178253,0.45054516196250916,0.5299447774887085
llava_1_5_7b,raw_attention,16,HALL,16,3487,0.42389076960985933,0.35795776546001434,0.41134709119796753,0.475111648440361
llava_1_5_7b,raw_attention,16,HALL,17,3487,0.39984285402834707,0.3430071324110031,0.386007159948349,0.4387652277946472
llava_1_5_7b,raw_attention,16,HALL,18,3487,0.4569701652985642,0.37716802954673767,0.4449256360530853,0.5240848362445831
llava_1_5_7b,raw_attention,16,HALL,19,3487,0.521846889022226,0.45028966665267944,0.5128624439239502,0.5865106880664825
llava_1_5_7b,raw_attention,16,HALL,20,3487,0.46302713499494497,0.37979210913181305,0.44764333963394165,0.5345826148986816
llava_1_5_7b,raw_attention,16,HALL,21,3487,0.39855478346723866,0.3333266079425812,0.38620227575302124,0.4529896676540375
llava_1_5_7b,raw_attention,16,HALL,22,3487,0.4706084400646181,0.39513297379016876,0.4590630531311035,0.5345496833324432
llava_1_5_7b,raw_attention,16,HALL,23,3487,0.5150832489350822,0.4375525414943695,0.5106313824653625,0.5836327075958252
llava_1_5_7b,raw_attention,16,HALL,24,3487,0.5206928205739676,0.450615331530571,0.5131467580795288,0.5855105817317963
llava_1_5_7b,raw_attention,16,HALL,25,3487,0.4493223072542719,0.37866584956645966,0.4399913251399994,0.5106379091739655
llava_1_5_7b,raw_attention,16,HALL,26,3487,0.4534083116539987,0.39399807155132294,0.44525855779647827,0.50484699010849
llava_1_5_7b,raw_attention,16,HALL,27,3487,0.40343527061688994,0.3354416936635971,0.39200371503829956,0.456297904253006
llava_1_5_7b,raw_attention,16,HALL,28,3487,0.5447957352218294,0.4938584864139557,0.545316755771637,0.5952843427658081
llava_1_5_7b,raw_attention,16,HALL,29,3487,0.45058829094418695,0.39686419069767,0.44184601306915283,0.4982629269361496
llava_1_5_7b,raw_attention,16,HALL,30,3487,0.3610527905055162,0.3119454085826874,0.35134613513946533,0.39898785948753357
llava_1_5_7b,raw_attention,16,HALL,31,3487,0.4176487033726802,0.3722671866416931,0.4132995307445526,0.45753800868988037
llava_1_5_7b,raw_attention,16,HALL,32,3487,0.3258566625153468,0.29087285697460175,0.32288646697998047,0.35641586780548096
llava_1_5_7b,raw_attention,16,REAL,1,11976,0.054157269006855066,0.05076690576970577,0.053705375641584396,0.05702310986816883
llava_1_5_7b,raw_attention,16,REAL,2,11976,0.1637729285502621,0.1453573890030384,0.1618032157421112,0.1809854544699192
llava_1_5_7b,raw_attention,16,REAL,3,11976,0.8030150554297801,0.7706709653139114,0.8117368817329407,0.8446093499660492
llava_1_5_7b,raw_attention,16,REAL,4,11976,0.8209094454969218,0.7857149839401245,0.8302421569824219,0.8660749942064285
llava_1_5_7b,raw_attention,16,REAL,5,11976,0.7654134769119576,0.7172706872224808,0.7728902101516724,0.8226733207702637
llava_1_5_7b,raw_attention,16,REAL,6,11976,0.6680513427094491,0.6077985763549805,0.6746856570243835,0.7353906482458115
llava_1_5_7b,raw_attention,16,REAL,7,11976,0.6050852315081066,0.5274801850318909,0.6012446582317352,0.6839431524276733
llava_1_5_7b,raw_attention,16,REAL,8,11976,0.5488693412721815,0.4709368944168091,0.5410491824150085,0.6233612149953842
llava_1_5_7b,raw_attention,16,REAL,9,11976,0.4985198601184484,0.4304753467440605,0.4892902225255966,0.5578801482915878
llava_1_5_7b,raw_attention,16,REAL,10,11976,0.4684589496237004,0.40272796154022217,0.45839454233646393,0.5213024914264679
llava_1_5_7b,raw_attention,16,REAL,11,11976,0.44688973460488307,0.3817145824432373,0.43409110605716705,0.49946238100528717
llava_1_5_7b,raw_attention,16,REAL,12,11976,0.4557527723307202,0.38987477868795395,0.4446988105773926,0.511248305439949
llava_1_5_7b,raw_attention,16,REAL,13,11976,0.5161914388570156,0.4480413571000099,0.5036729872226715,0.5733396708965302
llava_1_5_7b,raw_attention,16,REAL,14,11976,0.4333812304403516,0.37411485612392426,0.4221049100160599,0.4823688715696335
llava_1_5_7b,raw_attention,16,REAL,15,11976,0.47146644953292416,0.38578005880117416,0.4501546323299408,0.5389808565378189
llava_1_5_7b,raw_attention,16,REAL,16,11976,0.432853078622677,0.36346058547496796,0.41500262916088104,0.4878613129258156
llava_1_5_7b,raw_attention,16,REAL,17,11976,0.4046631609210987,0.34218665212392807,0.3899924159049988,0.45125562697649
llava_1_5_7b,raw_attention,16,REAL,18,11976,0.4362737538246967,0.3548942506313324,0.41923195123672485,0.5010816305875778
llava_1_5_7b,raw_attention,16,REAL,19,11976,0.5164021814270623,0.4417731463909149,0.5059913396835327,0.5817099213600159
llava_1_5_7b,raw_attention,16,REAL,20,11976,0.46287276609890965,0.3723946288228035,0.44344379007816315,0.5347705483436584
llava_1_5_7b,raw_attention,16,REAL,21,11976,0.38176898632644013,0.3091258034110069,0.36380548775196075,0.43772945553064346
llava_1_5_7b,raw_attention,16,REAL,22,11976,0.440855679191206,0.354708731174469,0.4211024194955826,0.5078517198562622
llava_1_5_7b,raw_attention,16,REAL,23,11976,0.4613278157804995,0.3747945874929428,0.44661323726177216,0.5333195328712463
llava_1_5_7b,raw_attention,16,REAL,24,11976,0.48216581561726457,0.40335340797901154,0.4677775949239731,0.5502970367670059
llava_1_5_7b,raw_attention,16,REAL,25,11976,0.42429303445678473,0.3401853144168854,0.40838032960891724,0.49285300076007843
llava_1_5_7b,raw_attention,16,REAL,26,11976,0.4356246315398233,0.3719869628548622,0.42318926751613617,0.4888617843389511
llava_1_5_7b,raw_attention,16,REAL,27,11976,0.40621352815999334,0.33667152374982834,0.3915402740240097,0.4635627120733261
llava_1_5_7b,raw_attention,16,REAL,28,11976,0.542915966593192,0.4941960945725441,0.543058454990387,0.5907936692237854
llava_1_5_7b,raw_attention,16,REAL,29,11976,0.4893600708091446,0.425416998565197,0.4821517616510391,0.5473798215389252
llava_1_5_7b,raw_attention,16,REAL,30,11976,0.37865750703515216,0.3233451545238495,0.3695012032985687,0.426495723426342
llava_1_5_7b,raw_attention,16,REAL,31,11976,0.42267167834227853,0.3761981800198555,0.41944336891174316,0.4657374247908592
llava_1_5_7b,raw_attention,16,REAL,32,11976,0.3338148393789549,0.3000912666320801,0.33171093463897705,0.36398547887802124
llava_1_5_7b,raw_attention,32,HALL,1,3487,0.09299082974367781,0.09001249819993973,0.09219406545162201,0.09487403556704521
llava_1_5_7b,raw_attention,32,HALL,2,3487,0.22355617874240274,0.2073979601264,0.2222641110420227,0.23897767066955566
llava_1_5_7b,raw_attention,32,HALL,3,3487,0.8399844876599236,0.814482182264328,0.8482279777526855,0.8750832676887512
llava_1_5_7b,raw_attention,32,HALL,4,3487,0.8789568807868859,0.858821302652359,0.8863189220428467,0.908108115196228
llava_1_5_7b,raw_attention,32,HALL,5,3487,0.842728763758914,0.8142838776111603,0.8511265516281128,0.8796749711036682
llava_1_5_7b,raw_attention,32,HALL,6,3487,0.7734232408322815,0.7342378497123718,0.7811368107795715,0.8197748363018036
llava_1_5_7b,raw_attention,32,HALL,7,3487,0.7576610420165241,0.7168294191360474,0.764828085899353,0.8075533509254456
llava_1_5_7b,raw_attention,32,HALL,8,3487,0.6863667443159627,0.6378980875015259,0.6911889314651489,0.7411068081855774
llava_1_5_7b,raw_attention,32,HALL,9,3487,0.6198358064330954,0.5676840543746948,0.6200138926506042,0.6696668267250061
llava_1_5_7b,raw_attention,32,HALL,10,3487,0.5950375713230649,0.545028567314148,0.5920212864875793,0.6405869126319885
llava_1_5_7b,raw_attention,32,HALL,11,3487,0.5658274357046068,0.5140538811683655,0.5607889890670776,0.6105214953422546
llava_1_5_7b,raw_attention,32,HALL,12,3487,0.5451424763200616,0.47823749482631683,0.5373267531394958,0.6021546721458435
llava_1_5_7b,raw_attention,32,HALL,13,3487,0.634777679599251,0.5753828585147858,0.6313357949256897,0.6936899721622467
llava_1_5_7b,raw_attention,32,HALL,14,3487,0.531388172908126,0.47131648659706116,0.5236867666244507,0.5836706757545471
llava_1_5_7b,raw_attention,32,HALL,15,3487,0.6028338763975024,0.5296927988529205,0.5944598913192749,0.6676819026470184
