method,label,layer,metric,count,mean,std,q10,median,q90
ATTN,REAL,20,top1_mass,5,0.0664382666349411,0.032191645184727426,0.03464332520961762,0.05796679109334946,0.10494622737169267
ATTN,REAL,20,top32_mass,5,0.5590644717216492,0.11705826839522449,0.4688439130783081,0.5231232643127441,0.6901720523834228
ATTN,REAL,21,normalized_entropy,5,0.8000684022903443,0.05067444615949081,0.7421159982681275,0.824243426322937,0.8365248084068299
ATTN,REAL,21,top1_mass,5,0.05236834548413753,0.04848636241096779,0.024034398794174194,0.026506654918193817,0.1045436054468155
ATTN,REAL,21,top32_mass,5,0.47917318940162656,0.11567952223724345,0.3765766203403473,0.42617762088775635,0.6206230521202087
ATTN,REAL,22,normalized_entropy,5,0.7371045589447022,0.08900861681179688,0.6412446022033691,0.7768645286560059,0.7964120388031006
ATTN,REAL,22,top1_mass,5,0.10692251324653626,0.09112860086221947,0.04314759373664856,0.0695151686668396,0.20515667200088503
ATTN,REAL,22,top32_mass,5,0.57393679022789,0.13242228591169847,0.4678056538105011,0.5125976800918579,0.7275996208190918
ATTN,REAL,23,normalized_entropy,5,0.7385511279106141,0.08980149613493982,0.6377476692199707,0.7740853428840637,0.8033352375030518
ATTN,REAL,23,top1_mass,5,0.09172831065952777,0.09068680614167245,0.027729810401797294,0.056546010076999664,0.19204096496105194
ATTN,REAL,23,top32_mass,5,0.5737768054008484,0.14082150843783817,0.44742668867111207,0.5378372073173523,0.740014398097992
ATTN,REAL,24,normalized_entropy,5,0.7380032896995544,0.0649377539373796,0.6583345293998718,0.7672463655471802,0.7943307042121888
ATTN,REAL,24,top1_mass,5,0.11059177294373512,0.06604601641412236,0.056338898837566376,0.08022646605968475,0.19000010788440705
ATTN,REAL,24,top32_mass,5,0.602519404888153,0.09842433042215118,0.51323983669281,0.5758056640625,0.7195448398590087
ATTN,REAL,25,normalized_entropy,5,0.7663584351539612,0.1029420506864559,0.6515247583389282,0.812619149684906,0.8394197225570679
ATTN,REAL,25,top1_mass,5,0.09000267945230007,0.09281122325080857,0.027886520698666574,0.050897758454084396,0.19030914008617403
ATTN,REAL,25,top32_mass,5,0.5205959737300873,0.1692482339304443,0.372094589471817,0.4549190402030945,0.723081660270691
ATTN,REAL,26,normalized_entropy,5,0.7286024332046509,0.09718081961946518,0.6199464678764344,0.7724534273147583,0.7971807956695557
ATTN,REAL,26,top1_mass,5,0.11165961250662804,0.0637363408818211,0.05946076288819313,0.06629632413387299,0.19214192330837251
ATTN,REAL,26,top32_mass,5,0.6128441691398621,0.12902652236581155,0.5229366898536683,0.5707743167877197,0.7489290475845337
ATTN,REAL,27,normalized_entropy,5,0.7747063159942627,0.10055753658099349,0.6690054893493652,0.8206478953361511,0.8340691566467285
