model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,highest_8_region,1.25,30.94447898864746
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,deterministic_random_region,0.0,27.061742782592773
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,deterministic_random_region,0.25,27.412553787231445
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,deterministic_random_region,0.5,27.76372528076172
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,deterministic_random_region,0.75,28.114948272705078
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,deterministic_random_region,1.0,28.46638298034668
qwen3_vl_8b,qwen3_vl_8b:17409:186:36,36,deterministic_random_region,1.25,28.817970275878906
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_p_ffn_token,0.0,6.141353130340576
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_p_ffn_token,0.25,6.501952171325684
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_p_ffn_token,0.5,6.869965553283691
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_p_ffn_token,0.75,7.244906425476074
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_p_ffn_token,1.0,7.626373291015625
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_p_ffn_token,1.25,8.01403522491455
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_8_region,0.0,4.710683822631836
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_8_region,0.25,5.397162437438965
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_8_region,0.5,6.11569356918335
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_8_region,0.75,6.86009407043457
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_8_region,1.0,7.626373291015625
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,highest_8_region,1.25,8.411778450012207
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,deterministic_random_region,0.0,4.710683822631836
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,deterministic_random_region,0.25,5.397162437438965
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,deterministic_random_region,0.5,6.11569356918335
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,deterministic_random_region,0.75,6.86009407043457
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,deterministic_random_region,1.0,7.626373291015625
qwen3_vl_8b,qwen3_vl_8b:184402:10:9,9,deterministic_random_region,1.25,8.411778450012207
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_p_ffn_token,0.0,3.3469622135162354
