model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_8_region,0.75,4.908456325531006
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_8_region,1.0,5.336550235748291
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,highest_8_region,1.25,5.769166946411133
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,deterministic_random_region,0.0,5.116671085357666
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,deterministic_random_region,0.25,5.171163558959961
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,deterministic_random_region,0.5,5.225982666015625
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,deterministic_random_region,0.75,5.281115531921387
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,deterministic_random_region,1.0,5.336550235748291
qwen2_5_vl_7b,qwen2_5_vl_7b:213525:15:14,14,deterministic_random_region,1.25,5.392271041870117
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_p_ffn_token,0.0,3.9078500270843506
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_p_ffn_token,0.25,3.9776995182037354
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_p_ffn_token,0.5,4.047828674316406
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_p_ffn_token,0.75,4.118224620819092
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_p_ffn_token,1.0,4.188876152038574
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_p_ffn_token,1.25,4.259772300720215
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_8_region,0.0,3.391780138015747
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_8_region,0.25,3.587913990020752
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_8_region,0.5,3.7863337993621826
qwen2_5_vl_7b,qwen2_5_vl_7b:215024:7:7,7,highest_8_region,0.75,3.9867360591888428
