model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,visual_prompt_sum,0,13,916,10.538424599639193,10.54223918914795,9.142745018005371,11.82046890258789
qwen2_5_vl_7b,raw,visual_prompt_sum,0,14,916,11.132303173885596,11.05008840560913,9.437408924102783,12.684563636779785
qwen2_5_vl_7b,raw,visual_prompt_sum,0,15,916,16.108745655118117,15.706017971038818,13.231980800628662,18.39509391784668
qwen2_5_vl_7b,raw,visual_prompt_sum,0,16,916,8.471233285931,7.891340970993042,6.584725618362427,9.974276781082153
qwen2_5_vl_7b,raw,visual_prompt_sum,0,17,916,11.37008466132343,11.08307695388794,8.998433351516724,13.651511192321777
qwen2_5_vl_7b,raw,visual_prompt_sum,0,18,916,8.086288797282757,7.800659656524658,6.23010790348053,9.689763069152832
qwen2_5_vl_7b,raw,visual_prompt_sum,0,19,916,9.426408178160806,9.467720985412598,7.773133873939514,10.996884822845459
qwen2_5_vl_7b,raw,visual_prompt_sum,0,20,916,17.125750551057173,17.210429191589355,14.255028247833252,19.928284168243408
qwen2_5_vl_7b,raw,visual_prompt_sum,0,21,916,10.79322229045968,10.75832748413086,8.45881724357605,12.87873387336731
qwen2_5_vl_7b,raw,visual_prompt_sum,0,22,916,22.82575257168066,22.658705711364746,19.004992485046387,26.486688137054443
qwen2_5_vl_7b,raw,visual_prompt_sum,0,23,916,22.79413521133656,22.71525764465332,17.370361328125,27.228460788726807
qwen2_5_vl_7b,raw,visual_prompt_sum,0,24,916,30.671486749399175,30.30995464324951,23.10768747329712,37.57891368865967
qwen2_5_vl_7b,raw,visual_prompt_sum,0,25,916,22.285567874471173,21.445663452148438,17.21306085586548,26.7881441116333
qwen2_5_vl_7b,raw,visual_prompt_sum,0,26,916,24.80460304568428,23.570456504821777,19.3703875541687,29.489128589630127
qwen2_5_vl_7b,raw,visual_prompt_sum,0,27,916,51.541430716951865,50.69449996948242,40.385196685791016,61.75398254394531
qwen2_5_vl_7b,raw,visual_prompt_sum,0,28,916,90.97668295031552,89.32540893554688,72.8608512878418,107.84916687011719
qwen2_5_vl_7b,raw,visual_prompt_sum,1,1,7801,2.824707228626873,2.5810084342956543,1.5566692352294922,4.050741672515869
qwen2_5_vl_7b,raw,visual_prompt_sum,1,2,7801,16.847243965352106,17.029752731323242,11.301676750183105,22.380565643310547
qwen2_5_vl_7b,raw,visual_prompt_sum,1,3,7801,7.806362661073306,7.598666667938232,5.353396415710449,10.371757507324219
qwen2_5_vl_7b,raw,visual_prompt_sum,1,4,7801,10.595622688207149,9.691293716430664,6.747798919677734,14.036338806152344
qwen2_5_vl_7b,raw,visual_prompt_sum,1,5,7801,16.689914863272488,16.025562286376953,12.721670150756836,20.387598037719727
qwen2_5_vl_7b,raw,visual_prompt_sum,1,6,7801,20.58448651539578,20.76101303100586,16.290321350097656,24.172508239746094
qwen2_5_vl_7b,raw,visual_prompt_sum,1,7,7801,8.552247627562949,8.30937385559082,6.950143814086914,9.850048065185547
qwen2_5_vl_7b,raw,visual_prompt_sum,1,8,7801,6.877633077947624,6.789855003356934,5.407998085021973,8.351348876953125
qwen2_5_vl_7b,raw,visual_prompt_sum,1,9,7801,10.989363461606795,10.914371490478516,8.719334602355957,12.675193786621094
qwen2_5_vl_7b,raw,visual_prompt_sum,1,10,7801,29.27920240806381,28.77916717529297,24.52031135559082,33.81234359741211
qwen2_5_vl_7b,raw,visual_prompt_sum,1,11,7801,8.401827598073485,8.34316635131836,7.131793022155762,9.61479377746582
qwen2_5_vl_7b,raw,visual_prompt_sum,1,12,7801,10.805303781189348,10.865557670593262,9.428860664367676,12.097517013549805
qwen2_5_vl_7b,raw,visual_prompt_sum,1,13,7801,12.42205625056548,12.310123443603516,10.67957592010498,14.238703727722168
qwen2_5_vl_7b,raw,visual_prompt_sum,1,14,7801,13.617902932511187,13.395943641662598,11.303356170654297,15.890666007995605
qwen2_5_vl_7b,raw,visual_prompt_sum,1,15,7801,16.975083762996395,16.660905838012695,14.59644889831543,18.901140213012695
qwen2_5_vl_7b,raw,visual_prompt_sum,1,16,7801,9.831167147291302,9.673933982849121,7.994816303253174,11.113479614257812
qwen2_5_vl_7b,raw,visual_prompt_sum,1,17,7801,13.539003056175448,13.618437767028809,11.606720924377441,15.493894577026367
qwen2_5_vl_7b,raw,visual_prompt_sum,1,18,7801,10.189090993370463,10.25952434539795,8.274872779846191,11.879093170166016
qwen2_5_vl_7b,raw,visual_prompt_sum,1,19,7801,11.62517909077005,11.448160171508789,9.668685913085938,13.550801277160645
qwen2_5_vl_7b,raw,visual_prompt_sum,1,20,7801,19.719374399095937,20.200847625732422,17.488170623779297,22.284669876098633
qwen2_5_vl_7b,raw,visual_prompt_sum,1,21,7801,14.168897083975875,13.746474266052246,11.102836608886719,17.011882781982422
qwen2_5_vl_7b,raw,visual_prompt_sum,1,22,7801,23.751113816845525,23.655323028564453,20.177024841308594,27.04492950439453
qwen2_5_vl_7b,raw,visual_prompt_sum,1,23,7801,27.773546395645955,28.01064109802246,22.869003295898438,32.7390022277832
qwen2_5_vl_7b,raw,visual_prompt_sum,1,24,7801,34.49918513389111,33.86442565917969,27.126222610473633,41.02180862426758
qwen2_5_vl_7b,raw,visual_prompt_sum,1,25,7801,24.696722268110786,24.56024742126465,20.5151424407959,28.59562110900879
qwen2_5_vl_7b,raw,visual_prompt_sum,1,26,7801,28.521651663912856,28.057350158691406,24.02979850769043,32.431861877441406
qwen2_5_vl_7b,raw,visual_prompt_sum,1,27,7801,57.47381767568306,56.72710418701172,47.069244384765625,67.0452651977539
qwen2_5_vl_7b,raw,visual_prompt_sum,1,28,7801,103.42580153034095,102.2129135131836,84.17488098144531,121.00227355957031
llava_1_5_7b,raw,prompt,0,1,3487,0.047865353488895625,0.03470611572265625,0.029151386581361294,0.054272206500172615
llava_1_5_7b,raw,prompt,0,2,3487,0.4994778643843777,0.47513532638549805,0.39861661195755005,0.5707481503486633
llava_1_5_7b,raw,prompt,0,3,3487,0.3538756829074573,0.3507075905799866,0.33075156807899475,0.3734184503555298
