model,scope,label,layer,valid,undefined,mean,q25,median,q75
llava_1_5_7b,all,REAL,26,11976,0,0.11624573694526405,0.032862478617792214,0.059294925087929835,0.12018397463926751
llava_1_5_7b,all,REAL,27,11976,0,0.2650959451474298,0.11360915761248778,0.2023157499095244,0.37900595902465284
llava_1_5_7b,all,REAL,28,11976,0,0.1345265183567835,0.044843107330981236,0.08088699435549124,0.15508436808886472
llava_1_5_7b,all,REAL,29,11976,0,0.20952215702534718,0.06231448428879958,0.15406116085052798,0.31837238105945287
llava_1_5_7b,all,REAL,30,11976,0,0.2156737782180972,0.09381412391034563,0.17228775044282277,0.315723092481494
llava_1_5_7b,all,REAL,31,11976,0,0.520455547614018,0.13877919483763565,0.30291812526635253,0.6456351246535112
llava_1_5_7b,all,REAL,32,11976,0,1.375859892033552,0.53882425092698,1.117348522755007,2.1926825365849902
llava_1_5_7b,all,HALL,1,3487,0,0.0411163432822361,0.02268436262227854,0.03262071028301442,0.04674178589473241
llava_1_5_7b,all,HALL,2,3487,0,0.04827701169324172,0.02637528818684258,0.03401479818223214,0.04601520039866028
llava_1_5_7b,all,HALL,3,3487,0,0.07423102407588164,0.03513476169229541,0.04590194791054466,0.06956279561032852
llava_1_5_7b,all,HALL,4,3487,0,0.06923406975739367,0.034883212943348764,0.048253038445566325,0.07021614415785962
llava_1_5_7b,all,HALL,5,3487,0,0.08513376413890862,0.042657062067227546,0.05995891699804214,0.08706912947042535
llava_1_5_7b,all,HALL,6,3487,0,0.1013476697398366,0.05776268052323563,0.0706453098759444,0.10237543994553873
llava_1_5_7b,all,HALL,7,3487,0,0.10605207680174664,0.066988145553848,0.08091429973416643,0.11039321267968014
llava_1_5_7b,all,HALL,8,3487,0,0.11578479987999184,0.06811960974957601,0.086346918757519,0.11987646515313177
llava_1_5_7b,all,HALL,9,3487,0,0.1480693489643031,0.09169914021529307,0.11411218830783453,0.15527903341071705
llava_1_5_7b,all,HALL,10,3487,0,0.14937955486358884,0.0947820327243824,0.11324517520112094,0.15219235996103278
llava_1_5_7b,all,HALL,11,3487,0,0.2025758376247646,0.12769543764517358,0.1514574182775817,0.19997301526504163
llava_1_5_7b,all,HALL,12,3487,0,0.1674704467562656,0.11741153651301693,0.13860314345473182,0.17257333263458513
llava_1_5_7b,all,HALL,13,3487,0,0.1889418108008524,0.1291628135904108,0.15298926068490812,0.19497728647549956
llava_1_5_7b,all,HALL,14,3487,0,0.17688700973835342,0.11689106120390941,0.1399978176152406,0.17991796766948578
llava_1_5_7b,all,HALL,15,3487,0,0.19350957551990838,0.12797517683009868,0.15338466075450383,0.19731682856381194
llava_1_5_7b,all,HALL,16,3487,0,0.2461059267517234,0.1638958802142192,0.1961337157530871,0.2474700099569992
llava_1_5_7b,all,HALL,17,3487,0,0.23479757338933888,0.13533993873306546,0.17162736404474965,0.23792597899703283
llava_1_5_7b,all,HALL,18,3487,0,0.13838024550043745,0.08151964807352868,0.09708462396284213,0.13280684781680907
llava_1_5_7b,all,HALL,19,3487,0,0.1493275190913577,0.08394489229595888,0.10464634420954949,0.14444415763990354
llava_1_5_7b,all,HALL,20,3487,0,0.17321545222811202,0.10819065637518648,0.1291723173506948,0.17655305609350375
llava_1_5_7b,all,HALL,21,3487,0,0.13783745165145764,0.07178201197100212,0.09225158075827898,0.13173447366740387
