model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,BOS,0,2778,16,0.5082591090101918,0.5031647682189941,0.4734266400337219,0.534313440322876
llava_1_5_7b,train,raw_attention,BOS,0,2778,17,0.5357990974226472,0.5321040153503418,0.5078537464141846,0.5605757236480713
llava_1_5_7b,train,raw_attention,BOS,0,2778,18,0.6431060416222992,0.6416912078857422,0.6122848987579346,0.6720831394195557
llava_1_5_7b,train,raw_attention,BOS,0,2778,19,0.6811107868252254,0.6815872192382812,0.6603990793228149,0.7029831409454346
llava_1_5_7b,train,raw_attention,BOS,0,2778,20,0.5761130837397751,0.5643317699432373,0.5264819860458374,0.609032154083252
llava_1_5_7b,train,raw_attention,BOS,0,2778,21,0.5937266080842076,0.5774356424808502,0.545838251709938,0.6244337558746338
llava_1_5_7b,train,raw_attention,BOS,0,2778,22,0.6797727794206082,0.6615292131900787,0.6226744651794434,0.7221872806549072
llava_1_5_7b,train,raw_attention,BOS,0,2778,23,0.608958174398771,0.5788951516151428,0.5521775484085083,0.6381960511207581
llava_1_5_7b,train,raw_attention,BOS,0,2778,24,0.7613890557258227,0.753527045249939,0.7291717529296875,0.7858977913856506
llava_1_5_7b,train,raw_attention,BOS,0,2778,25,0.6795385140279285,0.6698577404022217,0.6422572731971741,0.7075099945068359
llava_1_5_7b,train,raw_attention,BOS,0,2778,26,0.8428831672265085,0.8392953872680664,0.8178443908691406,0.8647012710571289
llava_1_5_7b,train,raw_attention,BOS,0,2778,27,0.6565534457875465,0.6417508125305176,0.6127150058746338,0.6840459108352661
llava_1_5_7b,train,raw_attention,BOS,0,2778,28,0.8840472221889455,0.8869049549102783,0.8676419258117676,0.9032107591629028
llava_1_5_7b,train,raw_attention,BOS,0,2778,29,0.8212052827219555,0.8221054077148438,0.8042187690734863,0.8387155532836914
llava_1_5_7b,train,raw_attention,BOS,0,2778,30,0.7372107062947415,0.7315089702606201,0.708016574382782,0.7602055072784424
llava_1_5_7b,train,raw_attention,BOS,0,2778,31,0.7734136692991868,0.7639490365982056,0.7343047559261322,0.8077316284179688
llava_1_5_7b,train,raw_attention,BOS,0,2778,32,0.46687256811418665,0.4570356011390686,0.40518592298030853,0.5254584699869156
llava_1_5_7b,train,raw_attention,BOS,1,9539,1,0.0022768296152181453,0.002344626933336258,0.0021120477467775345,0.0024668388068675995
llava_1_5_7b,train,raw_attention,BOS,1,9539,2,0.007513850724861762,0.007475072517991066,0.006484251469373703,0.00863564945757389
llava_1_5_7b,train,raw_attention,BOS,1,9539,3,0.6873933160838647,0.689422607421875,0.6590938568115234,0.7184906005859375
llava_1_5_7b,train,raw_attention,BOS,1,9539,4,0.8199730711746096,0.8215179443359375,0.8001708984375,0.8420791625976562
llava_1_5_7b,train,raw_attention,BOS,1,9539,5,0.8139686720627936,0.8179931640625,0.7917413711547852,0.8385658264160156
llava_1_5_7b,train,raw_attention,BOS,1,9539,6,0.7817923714372519,0.7816200256347656,0.7622900009155273,0.8025200664997101
llava_1_5_7b,train,raw_attention,BOS,1,9539,7,0.7772598750237112,0.7792129516601562,0.7584762573242188,0.7974739074707031
llava_1_5_7b,train,raw_attention,BOS,1,9539,8,0.7715304134426683,0.7734451293945312,0.7519369125366211,0.7924098968505859
llava_1_5_7b,train,raw_attention,BOS,1,9539,9,0.7249053638365573,0.7276630401611328,0.6990708708763123,0.7550735473632812
llava_1_5_7b,train,raw_attention,BOS,1,9539,10,0.7067038488845453,0.7073860168457031,0.6842374801635742,0.7300834655761719
llava_1_5_7b,train,raw_attention,BOS,1,9539,11,0.573476205173685,0.5719470977783203,0.5405807495117188,0.6090011596679688
llava_1_5_7b,train,raw_attention,BOS,1,9539,12,0.6136166700303073,0.6084463596343994,0.5659067034721375,0.6631803512573242
llava_1_5_7b,train,raw_attention,BOS,1,9539,13,0.6276444975266805,0.6258506774902344,0.5919218063354492,0.6587123870849609
llava_1_5_7b,train,raw_attention,BOS,1,9539,14,0.6190468984300553,0.6195945739746094,0.5787215232849121,0.6588332653045654
llava_1_5_7b,train,raw_attention,BOS,1,9539,15,0.5102362043672118,0.49793338775634766,0.4659581184387207,0.5391104221343994
llava_1_5_7b,train,raw_attention,BOS,1,9539,16,0.5432206133037059,0.5432538986206055,0.4992690086364746,0.5841684341430664
