model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,24,1321,0.7131554638680683,0.11946243271174967,0.7303449511528015,0.6380365490913391,0.805695652961731
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,25,1321,0.6525942770979966,0.11582730170387347,0.6617428064346313,0.5831283926963806,0.7373181581497192
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,26,1321,0.6668006326329248,0.1188107018849399,0.6755984425544739,0.5909408330917358,0.755082368850708
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,27,1321,0.6889847461063694,0.12134935559099357,0.7050517201423645,0.6180874705314636,0.7834765911102295
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,28,1321,0.7276852410413568,0.11684780136190816,0.7375273704528809,0.6524862051010132,0.8212378621101379
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,29,1321,0.6619821466296844,0.1134815306775727,0.6685338616371155,0.5880330801010132,0.7407644987106323
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,30,1321,0.6853400867920225,0.0980181818268782,0.6921690702438354,0.6226328015327454,0.7532603740692139
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,31,1321,0.7091829550482845,0.09497807891742008,0.7110531330108643,0.6520013809204102,0.776196300983429
internvl_2_5_8b,attention_evidence,HALL,normalized_entropy,32,1321,0.7853013804516586,0.08050678650535491,0.7910066246986389,0.7331175208091736,0.8449081182479858
internvl_2_5_8b,attention_evidence,HALL,top32_mass,1,1321,0.5134852543687568,0.07839817265675347,0.5089452266693115,0.4607822895050049,0.5620455741882324
internvl_2_5_8b,attention_evidence,HALL,top32_mass,2,1321,0.6196364079074008,0.06612083314387635,0.6188796162605286,0.5750041007995605,0.6643569469451904
internvl_2_5_8b,attention_evidence,HALL,top32_mass,3,1321,0.6310502806005832,0.07933767533873103,0.6302556991577148,0.5775436758995056,0.6850768327713013
internvl_2_5_8b,attention_evidence,HALL,top32_mass,4,1321,0.5703643081902916,0.06907691161167538,0.5660970211029053,0.5242796540260315,0.6153659820556641
