model,scope,label,layer,n_mentions,mean,median,q25,q75,source
qwen2_5_vl_7b,all,HALL,1,916,0.7415462498386354,0.7525952160358429,0.6846631765365601,0.8232840150594711,e_m
qwen2_5_vl_7b,all,HALL,2,916,0.5816132100909037,0.6515583992004395,0.38321252167224884,0.7341118603944778,e_m
qwen2_5_vl_7b,all,HALL,3,916,0.5406117258373827,0.5432474315166473,0.5022065192461014,0.5815716534852982,e_m
qwen2_5_vl_7b,all,HALL,4,916,0.4713251868254753,0.4679888188838959,0.42841140925884247,0.510674312710762,e_m
qwen2_5_vl_7b,all,HALL,5,916,0.6495182726320742,0.6441823542118073,0.5836077034473419,0.7078429162502289,e_m
qwen2_5_vl_7b,all,HALL,6,916,0.7423298898352285,0.7502029836177826,0.685848742723465,0.8103769272565842,e_m
qwen2_5_vl_7b,all,HALL,7,916,0.692599340947955,0.6892581582069397,0.6512079685926437,0.7295343577861786,e_m
qwen2_5_vl_7b,all,HALL,8,916,0.8077011489711995,0.8150157034397125,0.7652651369571686,0.8610790371894836,e_m
qwen2_5_vl_7b,all,HALL,9,916,0.7659418992535516,0.7791973650455475,0.7178598940372467,0.8224258124828339,e_m
qwen2_5_vl_7b,all,HALL,10,916,0.7685054951229471,0.7818019986152649,0.7096931338310242,0.8390356302261353,e_m
qwen2_5_vl_7b,all,HALL,11,916,0.7721695537194935,0.7776021361351013,0.7244658023118973,0.8242989927530289,e_m
qwen2_5_vl_7b,all,HALL,12,916,0.9077089675519143,0.9266335666179657,0.8859428912401199,0.9521423578262329,e_m
qwen2_5_vl_7b,all,HALL,13,916,0.7842131021176363,0.7884248793125153,0.7330113351345062,0.8404164016246796,e_m
qwen2_5_vl_7b,all,HALL,14,916,0.7558906282660222,0.7592037618160248,0.7073898911476135,0.8109358251094818,e_m
qwen2_5_vl_7b,all,HALL,15,916,0.761614211521815,0.7651800513267517,0.7078342735767365,0.8169724345207214,e_m
qwen2_5_vl_7b,all,HALL,16,916,0.7336012191712596,0.7323294579982758,0.6903477013111115,0.7757627218961716,e_m
qwen2_5_vl_7b,all,HALL,17,916,0.8482376529660287,0.8704589605331421,0.7982186675071716,0.9140758514404297,e_m
qwen2_5_vl_7b,all,HALL,18,916,0.7928605263149895,0.8024848699569702,0.7403630614280701,0.8507830053567886,e_m
qwen2_5_vl_7b,all,HALL,19,916,0.6360799514700752,0.6254353225231171,0.5985623747110367,0.6586374938488007,e_m
qwen2_5_vl_7b,all,HALL,20,916,0.6260455266682342,0.6248279809951782,0.5950785726308823,0.6567172706127167,e_m
qwen2_5_vl_7b,all,HALL,21,916,0.8525978816128194,0.880586713552475,0.8130627572536469,0.91777303814888,e_m
qwen2_5_vl_7b,all,HALL,22,916,0.8770988425443266,0.9049091041088104,0.837611198425293,0.9401652067899704,e_m
qwen2_5_vl_7b,all,HALL,23,916,0.8405973073827128,0.8520541191101074,0.7914243787527084,0.9008312225341797,e_m
qwen2_5_vl_7b,all,HALL,24,916,0.9664871474671052,0.9740344882011414,0.9598116427659988,0.9838574528694153,e_m
qwen2_5_vl_7b,all,HALL,25,916,0.8999799834849012,0.9090606272220612,0.8802617639303207,0.9305562824010849,e_m
qwen2_5_vl_7b,all,HALL,26,916,0.9734270177033271,0.982426255941391,0.9697924554347992,0.9888191521167755,e_m
qwen2_5_vl_7b,all,HALL,27,916,0.7891449247645499,0.7872394919395447,0.7583731561899185,0.8215772956609726,e_m
qwen2_5_vl_7b,all,HALL,28,916,0.8232331740543832,0.8326597511768341,0.7615482658147812,0.8980540931224823,e_m
qwen2_5_vl_7b,test,REAL,1,763,0.6669295792654645,0.6727079749107361,0.6502487659454346,0.6875464022159576,a_m
qwen2_5_vl_7b,test,REAL,2,763,0.3530933299195876,0.3521954119205475,0.3432392179965973,0.36165253818035126,a_m
qwen2_5_vl_7b,test,REAL,3,763,0.4035218824018501,0.4046892821788788,0.3821009248495102,0.42138367891311646,a_m
qwen2_5_vl_7b,test,REAL,4,763,0.34763346860480654,0.3464040160179138,0.3343161791563034,0.35873621702194214,a_m
qwen2_5_vl_7b,test,REAL,5,763,0.5251452309979056,0.5055070519447327,0.4680452048778534,0.5648512840270996,a_m
